question,option_a,option_b,option_c,option_d,option_e,correct_answer
ПРЕДОСТАВЛЕНИЕ МЕДИЦИНСКОЙ ПОМОЩИ В СООТВЕТСТВИИ С ПРОГРАММОЙ ГОСУДАРСТВЕННЫХ ГАРАНТИЙ ОБЕСПЕЧИВАЕТ,доступность и качество медицинской помощи,все ответы верны,высокую стоимость лечения,быстроту лечения,низкую стоимость лечения,доступность и качество медицинской помощи
МЕДИКО -ЭКОНОМИЧЕСКИЙ СТАНДАРТ - ЭТО,"стандарт лечения, разработанный для оценки качества медицинской помощи",достигнутый эффект лечения,стандарты ведения документации,"группа заболеваний, при которых технология обследования и лечения пациентов",приблизительно одинакова,"перечень меропри ятий по оказанию медицинской помощи, разработанный с"
НЕОКАЗАНИЕ МЕДРАБОТНИКОМ ПОМОЩИ БОЛЬНОМУ,дисциплинарный проступок,гражданская ответственность,медработник не будет нести никакой ответственности,административный проступок,уголовная ответственность,уголовная ответственность
"УКАЖИТЕ, В КАКИХ ИЗ ПЕРЕЧИСЛЕННЫХ СЛУЧАЕВ ПРИ ПРОВЕДЕНИИ КОНТРОЛЬНЫХ (НАДЗОРНЫХ) МЕРОПРИЯТИЙ НЕ ТРЕБУЕТСЯ СОГЛАСОВАНИЕ С","контролируемым лицом, документарная проверка",Отметить вопрос Текст вопроса,ЗАКОН – ЭТО,"правило, ставшее привычным в том или ином обществе",все ответы верны,"нормативный акт, обладающий высшей юридической силой и принятий"
К ФОРМАМ КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ НЕ ОТНОСЯТ,все ответы правильные,ведомственный контроль,вневедомственный контроль,государственный контроль,внутренний контроль,вневедомственный контроль
"ПЕРЕЧИСЛИТЕ УСЛОВИЯ, ПРИ КОТОРЫХ ОСУЩЕСТВЛЯЕТСЯ ФЕДЕРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ САНИТАРНО -ЭПИДЕМИОЛОГИЧЕСКИЙ НАДЗОР",все перечисленное верно,"за исполнением программ, методик и режимов воспитания и обучения",нет правильного ответа,"при разработке схем градостроительного планирования развития территорий,",генпланов поселений,все перечисленное верно
ГЛАВНЫМ ГОСУДАРСТВЕННЫМ САНИТАРНЫМ ВРАЧОМ РФ ЯВЛЯЕТСЯ,руководитель Федеральной службы по надзору в сфере защиты прав потребителей,и благополучия человека,начальник Департамента Министерства здр авоохранения и социального развития,РФ,главный врач ФБУЗ «Федеральный центр гигиены и эпидемиологии»,руководитель Федеральной службы по надзору в сфере защиты прав потребителей
"ОСНОВНЫМ ЗАКОНОМ, РЕГУЛИРУЮЩИМ ДИСЦИПЛИНАРНУЮ ОТВЕТСТВЕННОСТЬ, ЯВЛЯЕТСЯ",Кодекс РФ об административных правонарушениях,Уголовно -процессуальный кодекс,Трудовой кодекс (КЗОТ),Уголовный кодекс,все перечисленное,Трудовой кодекс (КЗОТ)
ПРИ ПРОВЕДЕНИИ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО НАДЗОРУ ТЕРРИТОРИАЛЬНЫМИ ОРГАНАМИ ПРОКУРАТУРЫ И РОСПОТРЕБНАДЗОРА С ПРИВЛЕЧЕНИЕМ ЭКСПЕРТОВ ЦГИЭ В ДЕТСКОМ САДУ БЫЛИ ВЫЯВЛЕНЫ ФАКТЫ НАРУШЕНИЯ САНИТАРНОГО ЗАКОНОДАТЕЛЬСТВА. КТО ИЗ ЧЛЕНОВ КОМИССИИ УПОЛНОМОЧЕН СОСТАВИТЬ ПР ОТОКОЛ ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ,врач ЦГиЭ,специалист Управления Роспотребнадзора по субъекту РФ,все перечисленные,директор детского сада,сотрудник прокуратуры,специалист Управления Роспотребнадзора по субъекту РФ
ПРИ ВОЗБУЖДЕНИИ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ В КАКИЕ СРОКИ МОЖЕТ СОСТАВЛЯТЬСЯ ПРОТОКОЛ,немедленно по факту установления нарушения,"возможно увеличение срока до 14 дней, для подготовки передачи материалов в",суд,"возможно увеличение срока до 7 дней, для подготовки передачи материалов в суд","возможно увеличение срока до Зх дней, для подготовки передачи материалов в",немедленно по факту установления нарушения; возможно увеличение срока до Зх
ОСНОВНЫМ УЧРЕДИТЕЛЬНЫМ ДОКУМЕНТОМ ФБУЗ «ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ» В СУБЪЕКТЕ РФ ЯВЛЯЕТСЯ,все перечисленное верно,Положение о Федеральной службе по надзору в сфере защиты прав потребителей,и благополучия человека,Устав ФБУЗ «Центр гигиены и эпидемиологии» в субъекте РФ,Свидетельство о внесении записи в Единый государственный реестр юридических,Устав ФБУЗ «Центр гигиены и эпидемиологии» в субъекте РФ
ПРИ РАССМОТРЕНИИ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ СУД МОЖЕТ ПРИНЯТЬ СЛЕДУЮЩИЕ РЕШЕНИЯ,административный штраф,"административный штраф, административная приостановка","деятельности, дисквалификация",административная приостановка деятельности,дисквалификация,"административный штраф, административная приостановка"
ПРЕДУПРЕЖДЕНИЕ - ЭТО ВИД НАКАЗАНИЯ,дисциплинарной ответственности,уголовной ответственности,все перечисленное,административной ответственности,гражданско -правовой,административной ответственности
"ВИДЫ ОТВЕТСТВЕННОСТИ ПРИ НАРУШЕНИИ ЗАКОНА «О САНИТАРНО - ЭПИДЕМИОЛОГИЧЕСКОМ БЛАГОПОЛУЧИИ НАСЕЛЕНИЯ», ЗАКОНА «О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ», ЗАКОНА «ОБ ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ» ДОЛЖНОСТНЫМИ И ЮРИДИЧЕСКИМИ ЛИЦАМИ",дисциплинарная и уголовная,административная,дисциплинарная,все перечисленное верно,уголовная,все перечисленное верно
"ПЕРЕЧИСЛИТЕ УСЛОВИЯ, ПРИ КОТОРЫХ ОСУЩЕСТВЛЯЕТСЯ ФЕДЕРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ САНИТАРНО - ЭПИДЕМИОЛОГИЧЕСКИЙ НАДЗОР",нет правильного ответа,"за радиационной безопасностью, в том числе дозами облучения",за содержанием жилых помещений,за организацией питания населения в дошкольных и других образовательных,учреждениях,все перечисленное верно
КАЧЕСТВО МЕДИЦИНСКОЙ ПОМОЩИ – ЭТО,"совокупность характеристик, отражающих степень достижения запланированного",результата,"совокупность характеристик, отражающих правильность выбора методов",профилактики,"совокупность характеристик, отражающих своевременность оказания",все перечисленное
ВЕДОМСТВЕННЫЙ КОНТРОЛЬ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ОСУЩЕСТВЛЯЕТСЯ ПОСРЕДСТВОМ,все перечисленное,внеплановых выездных проверок,плановых выездных проверок,сбором и анализом показателей деятельности подведомственного органа или,организации и предоставляемой ими статистической отчетности,все перечисленное
ЦЕЛЕВЫЕ (ВНЕПЛАНОВЫЕ) ПРОВЕРКИ В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ ПРОВОДЯТСЯ,при наличии отрицательной динамики статистических данных,во всех перечисленных случаях,"внутрибольничном инфицировании и осложнениях, вызванных медицинским",вмешательством,летальных исходах,во всех перечисленных случаях
ПО РЕЗУЛЬТАТАМ ПРОВЕДЕНИЯ МЕРОПРИЯТИЙ ВНУТРЕННЕГО КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ ОСУЩЕСТВЛЯЕТСЯ,все перечисленное,разработка предложений по устранению нарушений,формирование отчета,"анализ результатов внутреннего контроля, обеспечение реализации мер, принятых",по итогам внутреннего контроля,все перечисленное
СРОК ПРОВЕДЕНИЯ ПЛАНОВЫХ И ЦЕЛЕВЫХ ПРОВЕРОК В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ НЕ ДОЛЖЕН ПРЕВЫШАТЬ,30 дней,7 дней,3 дней,10 дней,20 дней,10 дней
МЕРОПРИЯТИЯ ПО РАННЕМУ ВЫЯВЛЕНИЮ ОНКОЛОГИЧЕСКИХ ЗАБОЛЕВАНИЙ,ВКЛЮЧАЮТ,анализ эффективности деятельности по раннему выявлению онкологических,заболеваний,проведение обучения медицинских работников,информирование пациентов по вопросам раннего выявления онкологических,все перечисленное
"ПРИ ПРОВЕДЕНИИ ПЛАНОВЫХ И ВНЕПЛАНОВЫХ ПРОВЕРОК УПОЛНОМОЧЕННОЕ ЛИЦО ИМЕЕТ ПРАВО НА ВСЕ ПЕРЕЧИСЛЕННОЕ, КРОМЕ",получать сведения о доходах физических лиц,"осуществлять получение, сбор, анализ сведений о деятельности медицинской",организации,"организовывать проведение необходимых экспертиз, анализов",знакомиться с результатами анкетирования и устных опросов пациентов,получать сведения о доходах физических лиц
"ПЕРЕЧЕНЬ МЕРОПРИЯТИЙ ПО СОБЛЮДЕНИЮ МЕДИЦИНСКИМИ ОРГАНИЗАЦИЯМИ БЕЗОПАСНЫХ УСЛОВИЙ ТРУДА, ТРЕБОВАНИЙ ПО БЕЗОПАСНОМУ ПРИМЕНЕНИЮ И ЭКСПЛУАТАЦИИ МЕДИЦИНСКИХ ИЗДЕЛИЙ В РАМКАХ ПРОВЕДЕНИЯ ВЕДОМСТВЕННОГО КОНТРОЛЯ ВКЛЮЧАЕТ ВСЕ, КРОМЕ",оценка уровня подготовки специалистов по охране труда,оценка соблюдения установленных правил в сфере обращения медицинских,изделий,оценка соответствия норматива численности службы охраны труда требованиям,трудового законодательства РФ,оценка наличия договоров о проведении клинических исследований
"ПЕРЕЧЕНЬ МЕРОПРИЯТИЙ ПО СОБЛЮДЕНИЮ ПОРЯДКОВ ПРОВЕДЕНИЯ МЕДИЦИНСКИХ ЭКСПЕРТИЗ, ДИСПАНСЕРИЗАЦИИ, МЕДИЦИНСКИХ ОСМОТРОВ И МЕДИЦИНСКИХ ОСВИДЕТЕЛЬСТВОВАНИЙ В РАМКАХ ПРОВЕДЕНИЯ ВЕДОМСТВЕННОГО КОНТРОЛЯ ВКЛЮЧАЕТ ВСЕ, КРОМЕ","рассмотрение документов и материалов, характеризующих организацию и",проведение медицинских освидетельствований,оценка соблюдения требований законодательства РФ к размещению и,содержанию информации об ос уществляемой деятельности в сфере охраны,здоровья,оценка соблюдения требований законодательства РФ к размещению и
ДОКАЗЫВАНИЕ - ЭТО,"деятельность следователя по установлению, собиранию обстоятельств, имеющих значение для дела","деятельность суда по проверке и оценке обстоятельств, имеющих значение для дела","совокупность проводимых следователем процессуальных действий, направленная на проведение исследований",вещественных доказательств,"деятельность по поиску информации, которая будет использована следователем или судом в установлении истины","деятельность по собиранию, проверке, оценке доказательств следователя или суда, направленная на установление"
ЗАКЛЮЧЕНИЕ СПЕЦИАЛИСТА - ЭТО,"сведения, сообщенные им на допросе, проведенном после получения его заключения, в целях разъяснения или",уточнения данного заключения,"содержание исследования и выводы, представленные в письменном виде, по вопросам, поставленным перед ним",сторонами процесса,"суждение специалиста, высказываемое им в суде устно, по вопросам, которые были ему поставлены сторонами","суждение, представленное в письменном виде, по вопросам, поставленным перед ним сторонами процесса"
"ИНФОРМАЦИЯ О СОСТОЯНИИ ЗДОРОВЬЯ ЛИЦА, ПОДВЕРГНУТОГО СУДЕБНОЙ ЭКСПЕРТИЗЕ, НЕЗАМЕДЛИТЕЛЬНО ДОЛЖНА БЫТЬ ПРЕДОСТАВЛЕНА","представителю лица, подвергнутого экспертизе","руководителю организации, где трудится лицо, подвергнутое экспертизе","близкому родственнику лица, подвергнутого экспертизе",любому заинтересованному лицу,"лицу и органу, назначившему экспертизу и подэкспертному, с его согласия ","лицу и органу, назначившему экспертизу и подэкспертному, с его согласия"
СУДЕБНАЯ ЭКСПЕРТИЗА – ЭТО,"выполнение экспертом, по его усмотрению и выбору, исследования объекта","процессуальное действие, назначенное уполномоченным органом (лицом) направленное на проведение","исследований и дачу заключения экспертом по вопросам, требующим специальных знаний ","действие, назначенное лицом, направленное на проведение исследований и дачу заключения экспертом по","вопросам, требующим специальных знаний","процессуальное действие, назначенное уполномоченным органом (лицом) направленное на проведение исследований и"
ЗАКЛЮЧЕНИЕ ЭКСПЕРТА,"является суждением, представленным в письменном виде, по вопросам, поставленным перед ним судом или",сторонами процесса,"представляет собой сведения, сообщенные им на допросе в суде, в целях разъяснения или уточнения его",умозаключений,"отражает сведения об обстоятельствах, требующих специальных познаний эксперта, которые необходимы суду для","включает содержание исследования и выводы, представленные в письменном виде, по вопросам, поставленным перед"
СУДЕБНЫЕ ЭКСПЕРТИЗЫ ПО ХАРАКТЕРУ СПЕЦИАЛЬНЫХ ЗНАНИЙ НЕ БЫВАЮТ,медицинские,астрологические ,биологические,экономические,химические,астрологические
ЕДИНОЛИЧНАЯ СУДЕБНО-МЕДИЦИНСКАЯ ЭКСПЕРТИЗА ПРОВОДИТСЯ,одним судебно-медицинским экспертом ,судебно-медицинскими экспертами одного экспертного подразделения,судебно-медицинскими экспертами одного разных подразделений,одним врачом экспертом,одним составом судебно-медицинских экспертов,одним судебно-медицинским экспертом
СУДЕБНО-ПСИХИАТРИЧЕСКАЯ ЭКСПЕРТИЗА В ГРАЖДАНСКОМ ПРОЦЕССЕ ПРОВОДИТСЯ С ЦЕЛЬЮ,установления дееспособности - недееспособности физического лица ,установления неспособности совместного проживания супругов,определения наличия возможности у лица правильно понимать окружающих,определения отцовства (материнства),установления способности воспитывать детей,установления дееспособности - недееспособности физического лица
СУДЕБНО-МЕДИЦИНСКАЯ ЭКСПЕРТИЗА В ГРАЖДАНСКОМ ПРОЦЕССЕ НЕ ПРОВОДИТСЯ,платно по согласованию сторон,платно за счет ответчика,"платно, по согласованию сторон, в связи с определением суда",платно за счет истца,бесплатно ,бесплатно
ОБЯЗАТЕЛЬНЫЕ СЛУЧАИ НАЗНАЧЕНИЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ,установление неспособности лица к обучению,установление причины смерти при суициде,"установление психического состояния подозреваемого, обвиняемого на предмет: наличия у лица наркомании;",наличии сомнения в способности лица правильно давать показания; наличия или отсутствия у лица,расстройства сексуального предпочтения (педофилии) ,"установление психического состояния подозреваемого, обвиняемого на предмет: наличия у лица наркомании; наличии"
"ОСНОВАНИЯ НЕДЕЙСТВИТЕЛЬНОСТИ СДЕЛКИ С УЧЕТОМ ПСИХИЧЕСКОГО ЗДОРОВЬЯ ЧЕЛОВЕКА, ЕСЛИ","сделка совершена гражданином, впоследствии ограниченным в дееспособности вследствие психического","расстройства, если будет доказано, что в момент совершения сделки он не был способен понимать значение своих",действий или руководить ими и другая сторона сделки знала или должна была знать об этом,нет верного ответа,"сделка совершена хотя и дееспособным, но находившимся в момент ее совершения в таком состоянии, когда он не",все ответы верные
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ ПРИМЕНИТЕЛЬНО К ЕЕ ОБЪЕКТАМ ОПРЕДЕЛЕН,Приказом Федерального Фонда Обязательного Медицинского Страхования РФ,Постановлением Правительства РФ,Законом РФ «О психиатрической помощи и гарантиях прав граждан при ее оказании»,Приказом Фонда Социального страхования РФ,Приказом Министерства здравоохранения РФ ,Приказом Министерства здравоохранения РФ
"НОРМАТИВНО-ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ В АДМИНИСТРАТИВНОМ ПРОЦЕССЕ",Уголовно-процессуальный кодекс РФ,Кодекс административного судопроизводства РФ,Гражданский процессуальный кодекс РФ,Трудовой кодекс РФ,Гражданский кодекс РФ,Кодекс административного судопроизводства РФ
СТАЦИОНАРНАЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА ПРОВОДИТСЯ В СРОК,не более тридцати дней,"тридцати дней, по решению суда возможно продление до шестидесяти дней, в исключительных случаях не",более девяносто дней ,не более десяти дней,не более сорока дней,"тридцати дней, по решению суда возможно продление до шестидесяти дней, в исключительных случаях не более"
"НОРМАТИВНО-ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ В К ЦЕЛЯМ НАЗНАЧЕНИЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ В ГРАЖДАНСКОМ ПРОЦЕССЕ НЕ ОТНОСИТСЯ",установление способности лица к обучению ,определение наличия недееспособности лица,установление наличия дееспособности лица,определение возможности лица по своему психическому состоянию участвовать в судебном заседании,определение возможности лица по своему психическому состоянию давать показания,установление способности лица к обучению
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ ОПРЕДЕЛЕН,Постановлением Правительства РФ,Приказом Федерального Фонда Обязательного Медицинского Страхования РФ,Приказом Министерства здравоохранения РФ,Федеральным законом «Об основах охраны здоровья граждан в РФ»,Приказом Фонда Социального страхования РФ,Приказом Министерства здравоохранения РФ
КОМПЛЕКСНАЯ СУДЕБНАЯ ЭКСПЕРТИЗА ПРОВОДИТСЯ,"экспертами, специальности которых относятся к одной отрасли знаний",группой экспертов одной или разных отраслей знаний,двумя специалистами одной отрасли знаний,"экспертами, специальности которых относятся к различным областям знаний ",только экспертами разных медицинских специальностей,"экспертами, специальности которых относятся к различным областям знаний"
СРОК ПРОИЗВОДСТВА АМБУЛАТОРНОЙ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА НЕ МОЖЕТ ПРЕВЫШАТЬ,десяти дней,трех дней,тридцати дней ,пятнадцати дней,двадцати дней,тридцати дней
ОБЪЕКТАМИ СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ НЕ ЯВЛЯЮТСЯ,"биологические выделения, ткани человека",трупы животных,трупы,материалы следственных и судебных дел,живые лица,трупы животных
ОСНОВАНИЯ ДЛЯ НАЗНАЧЕНИЯ ПРИНУДИТЕЛЬНЫХ МЕР МЕДИЦИНСКОГО ХАРАКТЕРА,"наступление психического расстройства у лица, после совершения преступления, что делает невозможным",назначение или исполнение ему наказания,все ответы верные ,совершение лицом общественно опасного деяния в состоянии невменяемости,"совершение преступления лицом, страдающим психическими расстройствами, не исключающими вменяемости",все ответы верные
ЦЕЛЬЮ ПРОВЕДЕНИЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ ЯВЛЯЕТСЯ,установление психического состояния лица при наличии сомнения в его способности правильно воспринимать,обстоятельства дела,установление психического состояния лица при наличии сомнения в его способности правильно давать показания,"установление психического состояния подозреваемого, обвиняемого на предмет наличия у лица наркомании",установление психического состояния лица и наличия у него расстройства сексуального предпочтения,все ответы верные
В УГОЛОВНОМ ПРОЦЕССЕ СУДЕБНО-МЕДИЦИНСКАЯ ЭКСПЕРТИЗА НЕ НАЗНАЧАЕТСЯ ДЛЯ,"определения степени вреда, причиненного здоровью",установления причины смерти,установления возраста лица при расследовании уголовного дела,установления психического состояния потерпевшего при сомнении в его способности правильно давать,показания ,установления психического состояния потерпевшего при сомнении в его способности правильно давать показания
КОМИССИОННАЯ СУДЕБНАЯ ЭКСПЕРТИЗА ВЫПОЛНЯЕТСЯ,"экспертами, специальности которых относятся к одной области знаний ",двумя экспертами разных специальностей различных областей знаний,тремя экспертами разных специальностей различных областей знаний,"врачом терапевтом и ветеринарным врачом, временно являющиеся экспертами",экспертом одной специальности,"экспертами, специальности которых относятся к одной области знаний"
СУДЕБНО-ПСИХИАТРИЧЕСКАЯ ЭКСПЕРТИЗА МОЖЕТ ПРОВОДИТЬСЯ,амбулаторно,"очно, заочно (посмертно)",стационарно,"в кабинете следователя, в судебном заседании",все ответы верные,все ответы верные
ВРЕМЕННАЯ НЕТРУДОСПОСОБНОСТЬ – ЭТО,"функциональное состояние организма, обусловленное заболеванием или травмой, при котором нарушение","функций сопровождается невозможностью выполнения профессионального труда в обычных условиях, чаще в","течение относительно небольшого промежутка времени, носит временный и обратимый характер, а так же",возможно возвращение больного к выполнению своей работы,невозможность выполнения человеком квалифицированного труда в обычных условиях,"нарушение функций сопровождается невозможностью выполнения профессионального труда в обычных условиях, чаще в"
КЛИНИЧЕСКИЙ ПРОГНОЗ – ЭТО,"предсказание предполагаемого течения заболевания, дающее основание судить о вероятности прогрессирования",и исходе болезни в ближайший месяц,"предсказание предполагаемого течения заболевания, дающее основание судить о вероятности прогрессирования",и исходе болезни,"предсказание на ближайшие 10 лет предполагаемого течения заболевания, дающих основание судить о",предсказание на ближайшее время (или один-два года) предполагаемого течения заболевания
"УКАЖИТЕ КРИТЕРИИ, ПО КОТОРЫМ ОЦЕНИВАЕТСЯ ТРУДОСПОСОБНОСТЬ","медицинские, социальные, экологические",социальные,"медицинские, социальные ",медицинские,"медицинские, социальные, экологические, интеллектуальные","медицинские, социальные"
ЭКСПЕРТИЗА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПРОВОДИТСЯ В ЦЕЛЯХ,определения способности гражданина осуществлять трудовую деятельность при наличии у него острых,"заболеваний или обострения хронических заболеваний, а так же последствий травм","определения способности гражданина осуществлять трудовую деятельность, а также принятия решения о",направлении гражданина на медико-социальную экспертизу,принятия решения о направлении гражданина на медико-социальную экспертизу,"определения способности гражданина осуществлять трудовую деятельность, необходимости и сроков"
ПАЦИЕНТ С ТУБЕРКУЛЕЗОМ НАПРАВЛЯЕТСЯ НА МЕДИКО-СОЦИАЛЬНУЮ ЭКСПЕРТИЗУ,при очевидном благоприятном клиническом и трудовом прогнозе,при очевидном благоприятном клиническом и трудовом прогнозе не позднее 14 месяцев,при очевидном благоприятном клиническом и трудовом прогнозе не позднее 12 месяцев,при очевидном неблагоприятном клиническом и трудовом прогнозе не позднее 14 месяцев,при очевидном неблагоприятном клиническом и трудовом прогнозе не позднее 12 месяцев,при очевидном благоприятном клиническом и трудовом прогнозе не позднее 12 месяцев
ПОСОБИЕ ПО ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ВЫПЛАЧИВАЕТСЯ В РАЗМЕРЕ 100% СРЕДНЕГО ЗАРАБОТКА ПРИ,обращения и жалобы граждан на разглашение врачебной тайны при проведении ЭВН,все ответы правильные,"обращения и жалобы граждан, юридических лиц, индивидуальных предпринимателей на нарушения при","проведении ЭВН (порядка выдачи, продления и оформления листков нетрудоспособности)",нет правильного ответа,"обращения и жалобы граждан, юридических лиц, индивидуальных предпринимателей на нарушения"
"ЛИСТОК НЕТРУДОСПОСОБНОСТИ ПО УХОДУ ФОРМИРУЕТСЯ, В СЛУЧАЕ УХОДА",в период ежегодного оплачиваемого отпуска и отпуска без сохранения заработной платы,за больным членом семьи старше 15 лет при лечении в стационарных условиях,в период отпуска по беременности и родам,нет правильного ответа ,за хроническими больными в период ремиссии,нет правильного ответа
"ОСНОВАНИЕМ ДЛЯ СНИЖЕНИЯ РАЗМЕРА ПОСОБИЯ ПО ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ, СОГЛАСНО СТ. 8 ФЕДЕРАЛЬНОГО ЗАКОНА ОТ 29.12.2006 №255-ФЗ МОЖЕТ ЯВЛЯТЬСЯ",испорченный бланк листка нетрудоспособности,неявка застрахованного лица без уважительных причин в назначенный срок на проведение медико-социальной,экспертизы,отказ застрахованного лица от проведения обследования в период временной нетрудоспособности,нет правильного ответа,"заболевание или травма, наступившие вследствие действий, связанных с алкогольным опьянением"
ПРИ НАПРАВЛЕНИИ НА САНАТОРНО-КУРОРТНОЕ ЛЕЧЕНИЕ ПОСЛЕ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В СТАЦИОНАРЕ,нет правильных ответов,листок нетрудоспособности продлевается по решению врачебной комиссии санаторно-курортной организации на,весь период лечения,листок нетрудоспособности не продлевается врачебной комиссии санаторно-курортной организации на период,лечения,листок нетрудоспособности продлевается по решению врачебной комиссии санаторно-курортной
ОСНОВНЫЕ ФУНКЦИОНАЛЬНЫЕ ОБЯЗАННОСТИ ВРАЧА ПРИ ПРОВЕДЕНИИ ЭКСПЕРТИЗЫ ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ (ЭВН),действовать в интересах больного и государства,все перечисленное ,"организовывать лечебно-диагностические, профилактические и реабилитационные мероприятия пациенту и",осуществлять контроль за их исполнением,действовать в интересах больного и государства,все перечисленное
ПРОДЛЕНИЕ ЛИСТКА НЕТРУДОСПОСОБНОСТИ ЕДИНОВРЕМЕННО НА СРОК БОЛЕЕ 15 ДНЕЙ ПРОВОДИТСЯ,лечащим врачом,врачебной комиссией ,врачом клинико-экспертного отдела,заместителем главного врача по клинико-экспертной работе,главным врачом,врачебной комиссией
МЕДИЦИНСКОЙ ПОМОЩИ,функция лечащего врача,функция заведующего отделением,функция клинического фармаколога,функция главного врача,функция врачебной комиссии,функция клинического фармаколога
"ОСНОВНОЙ СТАТИСТИЧЕСКОЙ ФОРМОЙ, РЕГИСТРИРУЮЩЕЙ ЗАБОЛЕВАНИЯ С ВРЕМЕННОЙ УТРАТОЙ ТРУДОСПОСОБНОСТИ, ЯВЛЯЕТСЯ",форма N 14,форма N 30,форма N 38,форма N 12,форма N 16-ВН,форма N 16-ВН
"ОСНОВНЫМ СТАТИСТИЧЕСКИМ ДОКУМЕНТОМ, РЕГИСТРИРУЮЩИМ ЗАБОЛЕВАНИЯ С ВРЕМЕННОЙ УТРАТОЙ ТРУДОСПОСОБНОСТИ, НА ОСНОВАНИИ КОТОРОГО РАССЧИТЫВАЮТСЯ СТАТИСТИЧЕСКИЕ ПОКАЗАТЕЛИ ИЗ ФОРМЫ N 16- ВН, ЯВЛЯЕТСЯ","медицинская карта пациента, получающего медицинскую помощь в амбулаторных условиях",выписка из амбулаторной карты,медицинская карта стационарного больного,листок нетрудоспособности ,выписка из стационара,листок нетрудоспособности
МЕДИКО-СОЦИАЛЬНАЯ ЭКСПЕРТИЗА – ЭТО,определение категория ограничения жизнедеятельности организма в связи с каким-либо заболеванием,определение в установленном порядке потребностей освидетельствуемого лица в мерах социальной защиты,"определение возможности функциональной деятельности организма в связи с тем или иным заболеванием, в",соответствии с критериями ограничения жизнедеятельности,обязательное освидетельствование лиц имеющих особые условия труда и определение ограничения их,признание лица инвалидом и определение в установленном порядке потребностей освидетельствуемого лица в мерах
ЗАОЧНАЯ МЕДИКО-СОЦИАЛЬНАЯ ЭКСПЕРТИЗА,проводиться не ранее 10 лет после первичного признания гражданина инвалидом,"может быть проведена гражданам, имеющим заболевания, дефекты, необратимые морфологические","изменения, нарушения функций органов и систем организма, предусмотренные Постановлением Правительства","РФ от 20 февраля 2006 г. N 95 ""О порядке и условиях признания лица инвалидом"" ",проводиться не ранее 5 лет после первичного признания гражданина инвалидом,"может быть проведена гражданам, имеющим заболевания, дефекты, необратимые морфологические изменения,"
ВОЗМОЖНОСТЬ И ПРОЦЕДУРА ПРОВЕДЕНИЯ ВОЕННО-ВРАЧЕБНОЙ ЭКСПЕРТИЗЫ РЕГЛАМЕНТИРУЕТСЯ,Постановлением Правительства РФ от 28 июля 2008 г. N 574 «Об утверждении Положения о независимой военно-,врачебной экспертизе»,Федеральным законом «Об обороне» от 31.05.1996г. № 61-ФЗ,Положением о порядке прохождения военной службы. Утверждено Указом Президента Российской Федерации от,16 сентября 1999г. № 1237,Постановлением Правительства РФ от 04.07.2013 N 565 «Об утверждении Положения о военно-врачебной экспертизе»
